"","Model","Actual Model BIC","LM BIC","Poly1 BIC","Poly2 BIC"
"68","pt45CLOSED.rds",-25890.1782576391,16305.6953880668,-1826.68570258025,-3361.37071981331
"69","pt45OPEN.rds",-17174.7481162938,26381.1873286182,8249.88522400055,4619.74911702628
"70","pt46CLOSED.rds",-16378.264443394,15029.52770419,1406.19009763281,-1126.36338264353
"71","pt46OPEN.rds",-27644.4995378229,27862.228312717,3259.0580407749,737.629028440256
"72","pt47CLOSED.rds",-15153.3725810908,13174.5205193835,-1674.6119880731,-3005.88024462377
"73","pt47OPEN.rds",-21241.8321385094,22066.2846033162,15366.1525408231,13954.3707462254
"74","pt48CLOSED.rds",-6322.25167199983,6805.98099451294,-31.3518873378662,-666.68543346437
"75","pt48OPEN.rds",-18767.6011249009,26092.8762870645,13150.0738098673,8842.37867013708
"76","pt50OPEN.rds",-5539.5053912581,22097.9920663984,16282.9469299982,14375.3195560766
"77","pt51CLOSED.rds",-10079.8923608393,24436.2625297729,13478.0674550678,12332.4528262082
"78","pt51OPEN.rds",-34860.7004076051,76082.1731054746,29426.1118571105,21830.3721639889
"79","pt52CLOSED.rds",-12546.8708893556,26048.6082123053,13364.318017855,11900.621787873
"80","pt52OPEN.rds",-23953.0471948164,51214.3259412194,28145.7016693882,17233.8133290311
"81","pt53CLOSED.rds",-10696.2665497645,37215.326716144,31380.4960685605,28987.3567172173
"82","pt53OPEN.rds",-20976.7970770577,26706.8472950345,7692.64672587742,2812.20128614895
"83","pt54CLOSED.rds",-21941.7191894689,21269.2474598621,-637.757846112243,-2760.93115422288
"84","pt54OPEN.rds",-26189.029110282,41949.12926798,36985.7613604224,35626.0064510527
"85","pt55CLOSED.rds",-12246.1374946782,15640.9423302975,8210.48687039594,6636.92737396841
"86","pt55OPEN.rds",-10868.5463423189,22650.9829681052,12545.9021327275,9691.0466791747
"87","pt56OPEN.rds",-36281.6820883331,56879.3295203562,21669.5342317488,15119.9757860703
"88","pt57CLOSED.rds",469.918427748053,5555.9777516445,3642.35746907413,3407.98817230505
"89","pt57OPEN.rds",-18441.0234159675,26004.9376847578,8113.80746330388,5669.87568308069
"90","pt58CLOSED.rds",-12919.7151160843,11076.2810608051,2709.30411061017,2251.47515294492
"91","pt58OPEN.rds",-23401.8918693486,38472.0278270932,16581.1192000672,14708.8862842717
"92","pt59OPEN.rds",-23558.578109953,60968.525401547,39305.021597661,36552.1618430955
"93","pt60OPEN.rds",-12062.2033166389,37122.1919629432,22532.9269168866,20497.6565086904
"94","pt61OPEN.rds",-23807.6409138413,71640.086812054,46946.1743592404,44377.0245644653
